order_id,customer_id,product_id,order_date,quantity,total_amount
1,444,19,2025-08-19,1,352.65
2,179,182,2024-01-10,2,687.88
3,138,59,2025-08-15,1,402.84
4,150,197,2024-08-19,4,231.68
5,257,18,2023-10-19,1,203.59
6,166,6,2023-12-10,2,436.48
7,391,197,2024-08-04,1,57.92
8,291,9,2025-08-10,2,77.02
9,486,96,2024-11-05,1,226.12
10,164,35,2025-05-07,1,280.81
11,122,55,2024-10-09,5,395.65
12,182,86,2024-01-26,3,641.58
13,481,27,2024-01-22,1,122.26
14,35,41,2025-08-31,1,10.26
15,167,187,2024-08-26,1,119.0
16,136,79,2025-04-17,1,43.05
17,490,99,2023-11-25,1,303.38
18,303,83,2023-12-15,3,1118.25
19,154,83,2024-07-06,3,1118.25
20,370,124,2024-01-01,1,37.16
21,423,157,2024-02-29,5,2332.15
22,489,163,2024-10-24,1,406.12
23,278,186,2025-09-01,4,410.72
24,101,133,2025-02-25,3,860.67
25,382,147,2024-07-15,3,1019.31
26,405,196,2024-05-06,1,71.58
27,490,106,2025-05-01,2,205.6
28,442,182,2024-01-14,1,343.94
29,248,153,2023-12-09,1,462.06
30,83,41,2023-12-21,2,20.52
31,183,82,2024-12-27,2,867.24
32,479,181,2025-06-22,1,15.12
33,342,2,2025-07-07,1,259.85
34,427,32,2023-12-21,2,539.18
35,167,119,2024-01-31,2,568.46
36,326,70,2024-01-23,1,371.06
37,459,53,2024-08-16,1,106.11
38,412,128,2024-04-08,2,958.04
39,209,140,2025-07-13,1,364.57
40,124,145,2023-11-27,1,314.8
41,295,162,2025-04-19,3,975.42
42,283,111,2025-07-23,1,439.85
43,120,121,2024-01-02,1,235.93
44,181,42,2024-09-01,2,19.78
45,46,114,2024-05-25,1,343.89
46,356,102,2024-01-09,1,165.64
47,105,5,2025-04-25,2,697.46
48,119,198,2024-03-06,1,246.05
49,188,170,2023-12-23,1,151.25
50,15,146,2025-02-28,2,152.14
51,239,55,2024-01-31,1,79.13
52,199,168,2024-07-27,1,206.78
53,201,114,2025-03-18,1,343.89
54,393,8,2025-01-16,1,30.51
55,379,6,2024-02-27,2,436.48
56,429,114,2024-07-30,1,343.89
57,432,63,2024-08-07,3,1131.15
58,208,143,2025-07-17,1,415.95
59,327,182,2025-02-12,3,1031.82
60,51,111,2023-11-27,2,879.7
61,493,2,2024-10-23,3,779.55
62,310,37,2024-11-01,3,636.96
63,231,65,2023-12-11,1,199.32
64,254,109,2024-04-20,3,319.8
65,235,18,2024-01-07,3,610.77
66,5,127,2025-04-17,1,121.64
67,395,3,2025-03-16,1,290.27
68,64,13,2025-03-14,1,462.76
69,133,124,2024-03-03,2,74.32
70,70,15,2025-03-17,2,623.24
71,127,91,2024-02-01,2,130.32
72,496,35,2023-09-24,1,280.81
73,38,56,2024-06-28,1,219.85
74,329,127,2024-01-15,1,121.64
75,499,191,2024-08-27,1,325.26
76,432,155,2024-08-23,1,492.43
77,373,68,2024-08-19,1,208.51
78,51,52,2024-12-08,1,260.3
79,122,114,2025-02-09,1,343.89
80,384,14,2024-11-04,2,797.24
81,388,77,2023-11-03,1,245.86
82,379,24,2024-05-08,4,1160.88
83,372,94,2024-10-31,1,61.36
84,357,137,2024-04-02,2,18.12
85,466,102,2025-08-16,2,331.28
86,151,158,2024-01-08,1,107.41
87,34,114,2024-05-22,3,1031.67
88,116,193,2024-08-24,5,2054.2
89,325,112,2024-03-17,2,603.7
90,55,130,2025-03-06,3,227.25
91,50,11,2025-06-09,3,490.35
92,328,28,2024-08-01,5,1307.15
93,288,67,2024-08-01,1,416.48
94,96,51,2025-06-26,3,609.66
95,248,77,2025-05-17,1,245.86
96,218,41,2024-09-29,1,10.26
97,101,94,2024-06-30,2,122.72
98,181,83,2024-02-07,2,745.5
99,265,118,2024-08-27,1,336.05
100,105,20,2025-06-11,1,232.65
101,148,31,2024-04-27,2,156.0
102,296,143,2024-07-05,1,415.95
103,109,100,2025-04-27,2,74.86
104,427,80,2024-09-02,2,313.5
105,80,105,2025-07-08,1,31.08
106,142,140,2024-08-07,5,1822.85
107,271,154,2024-06-30,1,268.47
108,288,41,2023-12-24,1,10.26
109,324,61,2024-12-25,4,1592.6
110,320,178,2024-01-07,2,563.28
111,440,89,2023-11-14,2,597.32
112,260,83,2025-02-11,5,1863.75
113,88,81,2024-05-24,1,39.87
114,385,77,2024-07-07,1,245.86
115,189,44,2024-06-21,1,185.84
116,41,5,2023-11-23,2,697.46
117,21,153,2023-11-29,1,462.06
118,384,172,2023-09-22,4,1614.64
119,25,131,2024-01-18,1,350.27
120,227,194,2024-07-30,2,361.7
121,231,13,2025-08-04,2,925.52
122,392,198,2024-09-12,1,246.05
123,291,113,2023-10-01,3,481.47
124,438,77,2023-11-26,1,245.86
125,83,5,2024-05-23,4,1394.92
126,121,25,2023-12-05,1,311.46
127,128,94,2023-10-19,2,122.72
128,462,192,2024-01-24,1,457.1
129,81,105,2024-03-07,1,31.08
130,56,121,2025-03-14,10,2359.3
131,282,81,2025-07-01,1,39.87
132,391,90,2024-03-12,3,1055.34
133,455,170,2025-06-30,2,302.5
134,143,78,2023-10-18,1,265.95
135,432,2,2024-11-23,3,779.55
136,476,55,2025-07-23,1,79.13
137,39,80,2024-04-11,2,313.5
138,55,193,2023-11-18,2,821.68
139,229,24,2025-01-11,1,290.22
140,183,90,2024-09-06,2,703.56
141,273,23,2024-12-17,2,938.98
142,115,187,2024-04-02,1,119.0
143,86,140,2024-04-16,10,3645.7
144,65,148,2025-05-11,1,382.81
145,93,108,2024-01-18,2,748.36
146,257,146,2024-10-24,1,76.07
147,243,83,2025-05-20,1,372.75
148,213,120,2024-05-31,4,563.72
149,398,195,2024-11-24,1,417.9
150,238,99,2025-05-25,1,303.38
151,7,107,2025-08-31,2,432.8
152,391,92,2025-06-09,1,395.45
153,86,179,2024-10-24,2,241.68
154,87,88,2024-12-21,1,234.93
155,68,117,2024-10-02,1,250.74
156,451,9,2024-08-06,1,38.51
157,474,64,2023-11-18,1,363.14
158,145,9,2023-11-01,4,154.04
159,20,53,2025-02-04,1,106.11
160,226,119,2024-12-20,2,568.46
161,363,168,2023-11-04,1,206.78
162,93,38,2024-02-18,3,71.88
163,434,62,2025-08-16,1,361.51
164,44,69,2025-03-03,2,217.52
165,494,189,2024-02-15,1,440.32
166,326,133,2024-07-26,1,286.89
167,458,85,2024-08-08,3,1056.18
168,415,71,2025-04-10,1,148.96
169,190,98,2024-12-16,4,183.32
170,163,35,2023-12-15,3,842.43
171,110,191,2024-08-07,2,650.52
172,185,82,2024-11-21,1,433.62
173,377,151,2023-09-26,2,927.28
174,327,98,2024-07-27,2,91.66
175,34,26,2024-02-14,1,342.83
176,320,40,2024-01-30,1,124.34
177,397,15,2024-11-17,3,934.86
178,71,188,2023-11-30,10,4437.5
