order_id,customer_id,product_id,order_date,quantity,total_amount
1,697,300,2025-09-01,4,4668.04
2,697,35,2024-11-20,2,921.68
3,697,251,2025-04-01,2,2338.98
4,697,235,2023-10-19,1,1765.5
5,697,242,2024-01-08,1,734.38
6,697,235,2025-07-03,2,3531.0
7,697,278,2023-07-17,1,1436.13
8,697,3,2020-10-27,1,473.43
9,697,297,2025-06-24,2,3926.92
10,697,299,2023-12-23,1,896.24
11,697,159,2023-01-05,1,407.17
12,697,275,2023-09-23,1,1233.28
13,697,241,2024-07-26,2,3181.64
14,697,204,2025-08-19,1,310.27
15,697,272,2023-01-18,1,887.54
16,697,39,2024-02-19,1,1664.38
17,697,154,2025-03-23,3,4401.66
18,697,283,2025-07-03,1,1072.63
19,697,159,2022-12-13,1,407.17
20,697,138,2025-07-19,1,1660.37
21,697,279,2024-05-28,1,1929.21
22,697,63,2024-11-26,5,6792.9
23,697,188,2025-08-24,2,3595.72
24,697,257,2024-08-03,1,884.87
25,697,123,2024-04-25,1,482.14
26,697,227,2023-10-13,1,1157.49
27,697,114,2023-06-21,1,1999.95
28,668,192,2024-11-05,4,2904.72
29,668,124,2024-12-17,1,1358.22
30,668,283,2024-07-04,1,1072.63
31,668,30,2024-05-16,3,770.25
32,668,216,2024-12-13,1,1285.61
33,668,1,2025-01-22,2,1639.1
34,668,283,2024-01-04,1,1072.63
35,668,22,2025-08-20,1,1484.73
36,668,222,2022-12-14,1,1522.53
37,668,186,2023-07-24,2,1149.46
38,668,41,2024-06-07,3,373.98
39,668,48,2025-05-09,3,1368.57
40,668,76,2020-09-11,1,1380.77
41,668,237,2023-07-29,1,393.34
42,668,19,2024-02-19,1,1733.56
43,668,205,2023-05-12,1,1869.8
44,668,234,2024-03-01,2,42.62
45,668,278,2023-03-18,1,1436.13
46,668,194,2024-12-27,1,724.99
47,668,99,2023-11-25,1,1294.02
48,64,275,2025-06-03,1,1233.28
49,64,11,2024-09-12,1,555.38
50,64,254,2024-05-08,1,1050.84
51,64,293,2021-01-04,1,677.54
52,64,246,2024-05-25,1,659.29
53,64,66,2025-02-22,2,852.82
54,64,184,2025-04-16,1,1037.9
55,64,59,2025-05-09,1,1237.59
56,64,145,2024-08-12,3,113.37
57,64,166,2024-10-21,2,755.4
58,64,88,2024-02-29,1,1729.17
59,64,51,2025-04-03,1,1317.37
60,64,225,2023-11-12,1,583.97
61,64,234,2025-01-17,1,21.31
62,64,56,2025-01-28,2,1820.04
63,64,63,2023-11-11,1,1358.58
64,64,92,2021-05-20,1,118.5
65,64,12,2023-01-21,1,1327.22
66,64,186,2025-06-29,2,1149.46
67,534,152,2025-07-20,1,776.83
68,534,174,2023-10-26,2,1105.48
69,534,149,2023-04-10,1,724.4
70,534,150,2024-12-29,1,1573.89
71,534,53,2025-06-12,1,17.18
72,534,146,2025-06-19,1,1438.5
73,534,207,2023-09-02,1,396.62
74,534,80,2023-10-24,1,1559.34
75,534,247,2025-08-06,1,788.94
76,534,155,2024-07-05,3,4543.71
77,534,52,2024-03-10,1,550.17
78,534,88,2025-07-21,1,1729.17
79,534,271,2024-07-01,1,88.92
80,534,216,2025-05-16,2,2571.22
81,534,260,2025-06-26,1,280.47
82,534,38,2025-04-27,1,309.51
83,534,41,2025-06-28,1,124.66
84,534,46,2024-12-23,2,1933.94
85,534,72,2024-11-15,2,1844.42
86,534,245,2023-06-27,2,1833.38
87,67,71,2025-04-04,1,1724.22
88,67,130,2024-12-14,3,516.99
89,67,233,2025-02-19,1,1686.49
90,67,27,2025-04-08,1,1695.36
91,67,94,2023-11-06,1,1016.6
92,67,64,2025-09-03,1,620.3
93,67,157,2025-07-08,4,3838.68
94,67,144,2021-03-25,2,260.6
95,67,162,2024-02-11,2,2591.14
96,67,138,2025-03-08,1,1660.37
97,67,281,2022-09-09,1,402.91
98,67,100,2025-03-25,1,878.33
99,67,194,2022-08-28,1,724.99
100,67,78,2022-02-15,1,803.9
101,67,157,2024-01-05,2,1919.34
102,67,192,2024-03-16,1,726.18
103,67,79,2024-12-04,1,624.0
104,67,147,2023-06-21,1,1231.55
105,622,222,2025-06-09,1,1522.53
106,622,60,2025-02-03,1,1325.57
107,622,252,2024-08-23,3,1604.19
108,622,184,2025-01-10,1,1037.9
109,622,241,2022-01-07,1,1590.82
110,622,292,2025-01-13,1,518.24
111,622,129,2025-01-15,1,209.67
112,622,132,2022-08-14,1,1893.09
113,622,265,2025-07-02,1,388.57
114,622,210,2025-04-12,1,1163.39
115,622,192,2023-09-07,1,726.18
116,622,58,2025-06-05,2,3534.54
117,622,94,2023-09-18,1,1016.6
118,622,290,2024-12-02,2,2021.8
119,622,118,2025-05-01,1,756.56
120,622,47,2024-01-07,1,1114.75
121,622,263,2024-05-07,1,1068.59
122,622,72,2025-05-15,1,922.21
123,622,67,2024-10-02,1,659.6
124,622,56,2024-08-08,2,1820.04
125,347,230,2025-03-21,1,1890.74
126,347,250,2025-03-19,3,114.57
127,347,233,2023-12-12,1,1686.49
128,347,43,2024-07-27,1,1332.35
129,347,187,2025-06-16,1,275.78
130,347,91,2025-08-29,1,153.01
131,347,282,2025-06-16,1,1293.57
132,347,110,2024-09-16,1,1407.15
133,347,10,2025-04-12,3,2213.49
134,347,166,2025-08-23,3,1133.1
135,347,221,2024-11-10,3,5928.33
136,347,83,2025-06-09,4,840.4
137,347,113,2023-11-03,2,3791.2
138,347,84,2025-07-17,2,2413.58
139,347,212,2025-07-14,1,1651.35
140,347,281,2025-05-19,1,402.91
141,347,13,2023-03-05,1,1574.66
142,347,201,2023-05-03,1,1658.96
143,347,252,2025-03-21,1,534.73
144,347,236,2024-12-13,2,190.52
145,347,27,2025-02-22,4,6781.44
146,347,199,2024-08-03,1,1944.9
147,347,288,2024-03-21,1,1966.07
148,347,80,2023-08-24,2,3118.68
149,347,287,2022-12-15,2,1200.58
150,491,128,2021-12-24,4,3855.12
151,491,86,2025-03-07,2,2259.3
152,491,252,2023-11-08,1,534.73
153,491,187,2024-09-06,1,275.78
154,491,228,2025-08-19,3,968.67
155,491,217,2024-10-05,1,1610.35
156,491,26,2025-01-07,1,918.79
157,491,10,2024-04-05,1,737.83
158,491,164,2025-01-13,1,1599.69
159,491,272,2023-05-29,2,1775.08
160,491,281,2023-06-22,1,402.91
161,491,115,2025-06-10,1,1689.63
162,491,255,2025-06-19,1,1644.21
163,491,8,2024-10-06,3,2232.63
164,491,190,2024-05-29,1,134.55
165,491,52,2025-06-28,1,550.17
166,491,187,2023-12-23,1,275.78
167,491,59,2023-08-22,1,1237.59
168,491,258,2023-05-20,4,5530.2
169,491,29,2023-04-02,1,166.18
170,491,183,2025-02-15,1,1921.24
171,491,108,2023-11-12,1,1419.12
172,491,40,2025-06-14,1,1490.45
173,491,74,2024-11-26,1,234.77
174,491,103,2024-12-08,1,1197.78
175,491,168,2024-08-16,2,1703.76
176,491,193,2022-12-22,1,1585.17
177,761,13,2025-05-23,3,4723.98
178,761,272,2022-04-13,1,887.54
179,761,166,2023-07-06,1,377.7
180,761,45,2025-04-19,1,1157.95
181,761,92,2024-04-14,3,355.5
