product_id,category,product_name,price
1,Books,Textbook 665,819.55
2,Fashion,T-shirt 969,79.24
3,Books,Novel 100,473.43
4,Beauty,Perfume 398,910.02
5,Beauty,Skincare Cream 602,1485.83
6,Fashion,Jacket 671,202.55
7,Books,Cookbook 418,1878.41
8,Home,Sofa 707,744.21
9,Books,Comics 974,476.04
10,Home,Sofa 703,737.83
11,Home,Sofa 408,555.38
12,Electronics,Smartwatch 94,1327.22
13,Beauty,Lipstick 52,1574.66
14,Fashion,Jeans 806,1131.33
15,Electronics,Camera 213,1174.83
16,Fashion,Sneakers 793,299.37
17,Beauty,Lipstick 284,1717.52
18,Fashion,Jeans 554,505.06
19,Fashion,T-shirt 677,1733.56
20,Fashion,T-shirt 367,1581.02
21,Fashion,Dress 332,36.48
22,Home,Sofa 130,1484.73
23,Beauty,Lipstick 764,131.8
24,Books,Textbook 526,1189.36
25,Books,Cookbook 227,1891.1
26,Electronics,Camera 309,918.79
27,Electronics,Smartphone 491,1695.36
28,Books,Novel 503,1426.24
29,Books,Novel 921,166.18
30,Beauty,Perfume 68,256.75
31,Beauty,Makeup Kit 562,1425.74
32,Books,Cookbook 544,593.32
33,Beauty,Makeup Kit 441,202.86
34,Electronics,Camera 739,1731.66
35,Books,Comics 910,460.84
36,Home,Chair 409,834.9
37,Electronics,Headphones 438,628.48
38,Home,Bed Frame 977,309.51
39,Books,Novel 94,1664.38
40,Electronics,Smartwatch 99,1490.45
41,Home,Dining Table 570,124.66
42,Beauty,Makeup Kit 338,1341.68
43,Books,Textbook 895,1332.35
44,Books,Novel 992,578.82
45,Home,Bed Frame 107,1157.95
46,Fashion,Jeans 673,966.97
47,Electronics,Headphones 866,1114.75
48,Electronics,Headphones 588,456.19
49,Books,Cookbook 998,1536.03
50,Beauty,Makeup Kit 692,1287.18
51,Electronics,Camera 952,1317.37
52,Home,Sofa 185,550.17
53,Home,Bed Frame 360,17.18
54,Fashion,Dress 674,804.56
55,Fashion,T-shirt 94,1493.49
56,Fashion,Jacket 430,910.02
57,Fashion,Sneakers 320,1444.58
58,Beauty,Makeup Kit 87,1767.27
59,Fashion,Jeans 773,1237.59
60,Electronics,Headphones 454,1325.57
61,Books,Cookbook 453,831.3
62,Fashion,Dress 117,693.62
63,Electronics,Headphones 695,1358.58
64,Books,Cookbook 684,620.3
65,Fashion,Jacket 614,114.29
66,Fashion,Sneakers 969,426.41
67,Fashion,Sneakers 297,659.6
68,Electronics,Smartwatch 765,864.16
69,Fashion,Jacket 546,1408.82
70,Beauty,Makeup Kit 854,1337.76
71,Home,Sofa 407,1724.22
72,Electronics,Smartwatch 20,922.21
73,Electronics,Headphones 590,861.42
74,Books,Comics 297,234.77
75,Electronics,Headphones 176,1603.64
76,Beauty,Skincare Cream 852,1380.77
77,Home,Sofa 448,1689.75
78,Fashion,Jacket 604,803.9
79,Electronics,Smartwatch 892,624.0
80,Home,Dining Table 342,1559.34
81,Electronics,Camera 649,232.48
82,Beauty,Perfume 928,1553.58
83,Home,Dining Table 242,210.1
84,Home,Dining Table 178,1206.79
85,Electronics,Laptop 975,1546.83
86,Books,Comics 773,1129.65
87,Beauty,Skincare Cream 698,1848.69
88,Beauty,Makeup Kit 331,1729.17
89,Home,Dining Table 451,141.23
90,Books,Textbook 816,552.97
91,Electronics,Headphones 520,153.01
92,Books,Comics 39,118.5
93,Home,Sofa 661,1729.18
94,Electronics,Camera 609,1016.6
95,Books,Cookbook 568,1908.69
96,Electronics,Smartwatch 931,1620.58
97,Fashion,Sneakers 620,953.88
98,Fashion,T-shirt 462,211.49
99,Home,Sofa 517,1294.02
100,Electronics,Laptop 725,878.33
101,Books,Cookbook 536,1221.56
102,Home,Bed Frame 940,569.37
103,Books,Textbook 696,1197.78
104,Home,Sofa 338,193.54
105,Books,Textbook 259,1448.85
106,Beauty,Perfume 342,167.6
107,Fashion,Sneakers 318,1935.55
108,Books,Biography 610,1419.12
109,Electronics,Headphones 573,756.48
110,Home,Dining Table 687,1407.15
111,Beauty,Lipstick 662,1342.56
112,Beauty,Shampoo 19,728.38
113,Fashion,Jeans 350,1895.6
114,Books,Biography 232,1999.95
115,Fashion,T-shirt 303,1689.63
116,Electronics,Camera 790,1081.84
117,Beauty,Lipstick 678,676.84
118,Beauty,Perfume 612,756.56
