order_id,customer_id,product_id,order_date,quantity,total_amount
1,330,269,2025-08-06,2,1423.26
2,219,231,2024-07-30,1,212.3
3,174,139,2024-09-19,3,2524.53
4,528,280,2024-03-26,4,1187.2
5,344,49,2025-07-17,2,2195.84
6,241,195,2024-08-17,2,408.3
7,204,183,2025-07-30,4,249.56
8,251,160,2024-02-07,1,430.29
9,75,117,2024-05-01,1,418.51
10,590,45,2025-03-05,1,1615.56
11,394,136,2024-05-28,1,424.05
12,152,121,2024-09-15,2,921.86
13,110,255,2024-11-24,1,53.68
14,181,165,2024-09-27,5,2164.3
15,531,276,2024-02-01,2,869.86
16,256,128,2025-07-25,2,1774.14
17,468,90,2024-03-27,2,577.26
18,544,159,2023-11-16,1,282.37
19,325,178,2025-07-23,3,4122.57
20,454,167,2025-01-01,1,987.59
21,517,299,2025-07-04,2,1580.96
22,562,131,2024-12-13,1,1231.64
23,487,229,2025-05-05,5,1224.35
24,254,138,2024-09-24,1,631.84
25,534,76,2025-04-12,2,759.96
26,282,286,2025-04-24,1,787.66
27,293,82,2024-02-21,3,739.77
28,328,126,2025-08-06,1,69.0
29,142,205,2025-06-05,2,220.52
30,157,125,2025-02-13,3,1006.77
31,425,275,2025-04-01,3,2108.67
32,478,194,2024-10-03,3,452.01
33,431,110,2024-09-05,5,528.5
34,599,122,2025-07-02,4,5390.44
35,590,61,2023-11-29,2,918.26
36,361,205,2024-07-27,3,330.78
37,430,108,2025-05-16,2,139.94
38,560,298,2024-11-25,2,77.7
39,226,138,2024-11-08,1,631.84
40,447,265,2023-12-10,4,1772.44
41,345,292,2025-06-08,1,110.62
42,415,174,2024-05-23,4,3632.8
43,479,160,2024-02-22,3,1290.87
44,547,26,2025-07-20,1,347.45
45,578,126,2024-10-24,4,276.0
46,439,30,2024-01-10,3,4458.21
47,187,25,2025-08-22,3,4287.36
48,336,81,2024-02-08,1,37.54
49,346,145,2025-06-24,2,2613.3
50,285,174,2024-09-28,2,1816.4
51,432,6,2025-04-14,2,2216.62
52,482,35,2025-08-31,5,9852.2
53,54,143,2024-07-29,2,2305.0
54,230,170,2025-08-28,1,46.16
55,42,136,2025-06-28,2,848.1
56,205,280,2025-03-17,3,890.4
57,157,151,2025-08-23,1,424.96
58,118,194,2025-05-10,3,452.01
59,477,170,2023-12-18,1,46.16
60,378,99,2025-03-25,3,96.57
61,118,251,2024-08-20,1,693.08
62,319,2,2025-07-15,3,4375.17
63,320,299,2023-10-18,2,1580.96
64,385,106,2025-03-16,3,1027.53
65,204,105,2024-12-23,2,261.84
66,249,290,2024-03-10,1,596.63
67,309,159,2025-02-19,4,1129.48
68,124,277,2024-01-31,1,752.78
69,43,208,2025-01-28,1,36.41
70,380,42,2024-08-09,2,1656.12
71,350,27,2024-10-30,4,4695.04
72,502,264,2025-04-15,5,1346.75
73,471,268,2024-01-13,1,510.07
74,181,162,2025-03-20,1,1374.02
75,277,299,2025-01-30,4,3161.92
76,552,270,2025-04-19,1,502.29
77,447,158,2024-11-15,1,802.76
78,275,76,2024-10-29,2,759.96
79,89,89,2024-08-19,1,212.37
80,250,157,2024-02-26,2,2954.14
81,389,272,2025-04-23,2,87.82
82,333,74,2024-07-16,2,611.56
83,364,142,2024-07-23,2,2848.46
84,287,165,2024-12-08,1,432.86
85,283,154,2024-02-11,2,818.18
86,196,47,2024-03-09,2,1400.64
87,417,169,2024-05-20,4,1333.76
88,247,282,2024-07-30,2,673.0
89,503,62,2024-08-05,1,193.95
90,96,86,2025-05-05,2,475.16
91,250,218,2024-02-28,3,549.66
92,378,214,2024-10-07,2,496.88
93,353,288,2024-05-03,2,697.54
94,564,105,2024-12-26,1,130.92
95,465,77,2025-07-01,2,241.5
96,237,13,2025-06-23,1,950.91
97,324,155,2025-08-11,2,469.7
98,190,48,2024-03-13,4,3305.72
99,496,218,2025-04-15,1,183.22
100,538,187,2025-07-29,1,84.92
101,199,84,2025-03-21,3,154.62
102,184,226,2024-06-01,2,338.88
103,547,63,2024-10-06,4,1194.72
104,56,165,2025-03-22,2,865.72
105,130,289,2025-06-28,2,703.1
106,503,1,2025-01-17,4,1988.16
107,588,91,2025-06-14,3,283.56
108,452,244,2024-07-25,1,51.31
109,259,151,2025-04-11,1,424.96
110,117,146,2025-08-20,1,746.52
111,504,41,2023-10-14,1,1202.99
112,55,232,2024-10-14,2,514.04
113,577,126,2025-04-25,3,207.0
114,255,49,2024-02-02,3,3293.76
115,427,231,2024-10-28,3,636.9
116,232,145,2024-10-25,4,5226.6
117,462,140,2024-10-14,2,1342.22
118,440,100,2024-04-11,1,94.95
119,62,288,2025-06-17,1,348.77
120,102,134,2025-01-22,3,1764.45
121,217,66,2025-01-03,3,1015.5
122,161,96,2025-01-26,3,449.88
123,77,87,2025-07-01,3,815.13
124,462,271,2024-07-29,4,822.16
125,299,19,2025-09-06,2,170.62
126,290,270,2024-04-30,3,1506.87
127,73,300,2024-12-05,3,1069.56
128,271,161,2024-08-19,1,57.03
129,203,155,2023-10-27,3,704.55
130,231,239,2024-02-26,1,216.09
131,273,125,2025-07-11,2,671.18
132,62,80,2023-09-23,3,334.59
133,583,149,2025-04-19,3,1965.18
134,128,200,2025-08-05,2,179.5
135,413,273,2024-11-17,1,699.33
136,553,126,2023-12-28,3,207.0
137,41,168,2025-05-19,2,2499.44
138,331,242,2024-11-08,2,930.32
139,94,104,2024-12-22,3,379.65
140,590,182,2024-03-14,1,28.39
141,276,289,2023-11-30,1,351.55
142,180,162,2025-06-25,2,2748.04
143,453,252,2025-07-25,3,2038.59
144,600,293,2023-09-11,3,899.49
145,504,151,2025-06-11,1,424.96
146,357,201,2024-04-21,1,184.6
147,108,142,2025-02-27,3,4272.69
148,422,139,2025-07-21,5,4207.55
149,411,156,2023-10-30,1,1257.35
150,38,81,2025-03-20,1,37.54
151,259,230,2025-03-29,1,202.75
152,414,173,2025-07-07,3,3943.86
153,2,275,2024-11-01,1,702.89
154,474,133,2024-07-01,3,1234.05
155,531,289,2023-12-20,2,703.1
156,511,289,2023-12-05,1,351.55
157,53,36,2025-03-30,3,5057.55
158,135,269,2025-05-08,4,2846.52
159,497,41,2025-06-21,2,2405.98
160,246,260,2025-06-10,2,1129.24
161,565,27,2025-05-20,1,1173.76
162,96,54,2025-05-19,2,1863.64
163,117,188,2024-12-19,1,125.95
164,158,286,2024-11-18,3,2362.98
165,299,138,2025-08-07,2,1263.68
166,426,151,2025-05-11,2,849.92
167,250,250,2025-04-18,5,1962.6
168,393,39,2024-06-28,4,6985.2
169,521,189,2024-12-24,4,389.12
170,72,171,2025-07-20,2,462.44
171,425,231,2024-12-12,2,424.6
172,520,181,2024-09-07,3,488.67
173,290,294,2024-08-21,4,990.44
174,594,152,2024-07-29,4,3304.8
175,153,211,2024-10-15,2,422.38
176,354,109,2023-09-15,4,1615.84
177,557,120,2024-03-29,2,236.78
178,330,165,2025-05-24,2,865.72
179,245,195,2024-03-08,2,408.3
180,421,228,2025-07-30,2,447.36
181,485,292,2025-04-02,2,221.24
182,391,103,2024-03-21,1,33.01
183,156,183,2024-03-06,2,124.78
184,130,218,2025-01-28,1,183.22
185,340,296,2024-11-25,3,618.15
186,451,59,2024-07-31,2,2043.64
187,468,10,2023-11-28,3,5464.44
188,420,130,2025-05-25,1,1342.23
189,77,197,2025-06-18,2,447.56
190,347,206,2023-11-23,2,469.42
191,83,175,2024-07-07,3,2738.28
192,547,261,2024-05-30,4,1153.6
193,500,243,2025-08-02,1,734.5
194,71,104,2025-08-26,1,126.55
195,295,168,2025-04-05,3,3749.16
196,93,187,2024-04-23,2,169.84
197,103,225,2024-08-19,3,203.28
198,307,123,2024-09-16,2,98.22
199,333,139,2024-08-12,1,841.51
200,368,190,2024-05-10,2,232.74
201,251,217,2025-02-02,2,185.12
202,185,66,2025-05-30,3,1015.5
203,392,136,2023-11-04,2,848.1
204,510,250,2025-07-18,1,392.52
205,238,197,2024-09-02,2,447.56
206,471,61,2024-04-22,3,1377.39
207,477,164,2025-02-01,2,1754.96
208,560,29,2024-11-02,4,3508.2
209,354,140,2024-12-31,1,671.11
210,435,150,2024-12-04,4,252.12
211,310,85,2025-06-24,2,784.5
212,495,205,2024-03-01,1,110.26
213,586,199,2024-02-15,2,47.78
214,303,54,2025-01-03,3,2795.46
215,406,217,2025-02-21,1,92.56
216,51,168,2024-05-17,2,2499.44
217,509,178,2024-11-02,3,4122.57
218,294,135,2025-01-02,1,897.73
219,361,193,2024-02-18,2,352.86
